"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",0,-1.18761852332446,-0.219883451865928,"16","43","160","2","7","8"
"public",0,-1.16491973223433,-0.220889960747633,"8","64","160","2","2","10"
"public",0,-1.12186296288523,-0.197740256468412,"1","64","110","2","7","6"
"public",0,-1.21882936107339,-0.143486180941654,"14","63","910","0","0","0"
"public",0,-1.10412953234606,0.609749351295279,"22","43","930","2","0","2"
"public",3,0.688649361441536,-0.210357332321014,"8","14","220","2","3","5"
"public",5,-0.459058263053333,-0.206055318552435,"8","14","160","2","2","9"
"public",2,-0.331377563171333,-0.210282655855598,"8","14","160","2","4","9"
"public",0,0.315537982897469,-0.208113791555665,"8","14","160","2","2","5"
"public",1,1.28803931366537,-0.211376828414096,"8","44","160","2","3","1"
"public",0,0.155937108044968,-0.178616587716012,"8","13","160","2","7","8"
"public",0,1.54056336454311,-0.159817599248033,"8","23","240","2","1","1"
"public",0,-0.642067266217534,-0.191766139235065,"8","64","220","2","7","6"
"public",0,-0.4618956119396,-0.195532430534349,"8","14","160","2","7","6"
"public",0,-0.281723957661666,-0.153804520380555,"8","13","330","2","2","5"
"public",2,0.499256323283236,-0.119041002327593,"8","22","230","2","2","2"
"public",0,-0.0923309195033657,-0.206506624147781,"8","16","110","2","7","10"
"public",0,-0.624475703122681,-0.181895858588665,"8","43","160","2","7","8"
"public",1,0.451021392216702,-0.21420154688856,"8","13","160","2","4","8"
"public",0,-0.4257194136397,-0.132576923385107,"8","13","220","2","7","5"
"public",0,0.0842940486667348,-0.133908112551233,"8","14","160","2","4","1"
"public",0,1.3873465246847,-0.210065120065035,"8","14","220","2","3","2"
"public",1,0.476557532193103,-0.207058580631296,"8","13","160","2","7","5"
"public",1,0.92627733066637,-0.161431260261606,"8","16","240","2","2","5"
"public",0,0.621262325392703,-0.179590628569275,"8","15","240","2","4","4"
"public",1,0.0154883381747679,-0.203513071925419,"8","14","160","2","2","8"
"public",1,2.21727107391771,-0.208571590756699,"8","22","240","2","2","3"
"public",1,0.249569621291769,-0.214432069890499,"8","14","160","2","2","8"
"public",1,0.213393422991868,-0.213734007278993,"8","14","160","2","2","8"
"public",1,0.0374777920433347,-0.19955846606117,"8","14","160","2","7","7"
"public",0,0.550328603236036,-0.213211272021075,"8","14","310","2","4","5"
"public",1,0.142459700835202,-0.204892963134208,"8","14","160","2","2","1"
